iShares Russell 1000 Value ETF
Fund Holdings as of,"Oct 31, 2023"
Inception Date,"May 22, 2000"
Shares Outstanding,"318,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"KR","KROGER","Consumer Staples","Equity","77,023,605.49","0.16","77,023,605.49","1,697,677.00","45.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FERG","FERGUSON PLC","Industrials","Equity","76,275,765.60","0.16","76,275,765.60","507,828.00","150.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","75,971,336.10","0.16","75,971,336.10","336,082.00","226.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Equity","75,641,137.29","0.16","75,641,137.29","1,540,239.00","49.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","75,558,014.40","0.16","75,558,014.40","471,295.00","160.32","United States","NASDAQ","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","75,219,825.51","0.16","75,219,825.51","2,480,047.00","30.33","United States","NASDAQ","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","73,468,866.24","0.16","73,468,866.24","1,867,536.00","39.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","72,865,816.20","0.16","72,865,816.20","2,611,678.00","27.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","72,547,949.43","0.16","72,547,949.43","660,187.00","109.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPN","GLOBAL PAYMENTS INC","Financials","Equity","72,297,580.80","0.15","72,297,580.80","680,640.00","106.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","71,640,912.40","0.15","71,640,912.40","1,098,787.00","65.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","70,270,115.76","0.15","70,270,115.76","1,121,809.00","62.64","United States","NASDAQ","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","70,191,800.00","0.15","70,191,800.00","1,267,000.00","55.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","69,107,363.60","0.15","69,107,363.60","797,270.00","86.68","United States","NASDAQ","USD","1.00","USD","-"
"LEN","LENNAR A CORP","Consumer Discretionary","Equity","69,028,574.16","0.15","69,028,574.16","647,062.00","106.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","66,845,607.00","0.14","66,845,607.00","821,300.00","81.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","65,776,630.92","0.14","65,776,630.92","2,090,802.00","31.46","United States","NASDAQ","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","65,700,006.84","0.14","65,700,006.84","864,929.00","75.96","United States","NASDAQ","USD","1.00","USD","-"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","65,690,894.78","0.14","65,690,894.78","160,637.00","408.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IR","INGERSOLL RAND INC","Industrials","Equity","63,904,777.92","0.14","63,904,777.92","1,053,144.00","60.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","62,447,919.03","0.13","62,447,919.03","938,079.00","66.57","United States","NASDAQ","USD","1.00","USD","-"
"EIX","EDISON INTERNATIONAL","Utilities","Equity","62,010,492.42","0.13","62,010,492.42","983,357.00","63.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APTV","APTIV PLC","Consumer Discretionary","Equity","61,412,605.60","0.13","61,412,605.60","704,273.00","87.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","61,149,607.26","0.13","61,149,607.26","368,949.00","165.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","60,735,183.30","0.13","60,735,183.30","754,006.00","80.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materials","Equity","60,733,956.48","0.13","60,733,956.48","673,027.00","90.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","60,363,504.70","0.13","60,363,504.70","381,830.00","158.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLTR","DOLLAR TREE INC","Consumer Staples","Equity","60,272,546.04","0.13","60,272,546.04","542,556.00","111.09","United States","NASDAQ","USD","1.00","USD","-"
"FTV","FORTIVE CORP","Industrials","Equity","60,068,110.08","0.13","60,068,110.08","920,161.00","65.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","59,691,492.25","0.13","59,691,492.25","507,365.00","117.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Financials","Equity","58,069,790.35","0.12","58,069,790.35","790,603.00","73.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","57,644,025.22","0.12","57,644,025.22","141,886.00","406.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","57,375,673.75","0.12","57,375,673.75","428,977.00","133.75","United States","NASDAQ","USD","1.00","USD","-"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Health Care","Equity","57,041,271.20","0.12","57,041,271.20","546,320.00","104.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","57,033,811.52","0.12","57,033,811.52","5,737,808.00","9.94","United States","NASDAQ","USD","1.00","USD","-"
"EXR","EXTRA SPACE STORAGE REIT INC","Real Estate","Equity","56,384,140.59","0.12","56,384,140.59","544,301.00","103.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","56,154,384.15","0.12","56,154,384.15","457,395.00","122.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","56,139,461.10","0.12","56,139,461.10","237,990.00","235.89","United States","NASDAQ","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","55,882,076.76","0.12","55,882,076.76","805,914.00","69.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KVUE","KENVUE INC","Consumer Staples","Equity","55,568,932.20","0.12","55,568,932.20","2,987,577.00","18.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","55,050,772.63","0.12","55,050,772.63","55,050,773.00","100.00","United States","-","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","54,935,837.73","0.12","54,935,837.73","362,541.00","151.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WY","WEYERHAEUSER REIT","Real Estate","Equity","54,662,052.85","0.12","54,662,052.85","1,905,265.00","28.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STE","STERIS","Health Care","Equity","54,174,210.06","0.12","54,174,210.06","257,997.00","209.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQR","EQUITY RESIDENTIAL REIT","Real Estate","Equity","53,689,742.15","0.11","53,689,742.15","970,355.00","55.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","53,492,053.58","0.11","53,492,053.58","827,666.00","64.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTRA","COTERRA ENERGY INC","Energy","Equity","53,400,050.00","0.11","53,400,050.00","1,941,820.00","27.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DFS","DISCOVER FINANCIAL SERVICES","Financials","Equity","53,271,643.68","0.11","53,271,643.68","649,021.00","82.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","52,950,788.04","0.11","52,950,788.04","1,978,729.00","26.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","52,820,245.31","0.11","52,820,245.31","268,819.00","196.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EL","ESTEE LAUDER INC CLASS A","Consumer Staples","Equity","52,812,472.44","0.11","52,812,472.44","409,812.00","128.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","52,634,434.93","0.11","52,634,434.93","550,627.00","95.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Real Estate","Equity","52,395,129.57","0.11","52,395,129.57","251,139.00","208.63","United States","NASDAQ","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","51,928,809.50","0.11","51,928,809.50","573,799.00","90.50","United States","NASDAQ","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","51,815,881.34","0.11","51,815,881.34","3,369,043.00","15.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","51,656,595.84","0.11","51,656,595.84","535,968.00","96.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","51,578,421.73","0.11","51,578,421.73","681,263.00","75.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","51,161,726.04","0.11","51,161,726.04","1,304,148.00","39.23","United States","NASDAQ","USD","1.00","USD","-"
"XYL","XYLEM INC","Industrials","Equity","50,837,961.06","0.11","50,837,961.06","543,489.00","93.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FE","FIRSTENERGY CORP","Utilities","Equity","50,435,445.60","0.11","50,435,445.60","1,416,726.00","35.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MKL","MARKEL GROUP INC","Financials","Equity","50,240,315.80","0.11","50,240,315.80","34,165.00","1,470.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","49,509,281.25","0.11","49,509,281.25","1,584,297.00","31.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","49,173,560.28","0.11","49,173,560.28","463,814.00","106.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","48,779,999.40","0.10","48,779,999.40","906,860.00","53.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","48,622,467.00","0.10","48,622,467.00","256,380.00","189.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","48,511,702.25","0.10","48,511,702.25","430,259.00","112.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INVH","INVITATION HOMES INC","Real Estate","Equity","47,203,863.79","0.10","47,203,863.79","1,589,891.00","29.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPL","PPL CORP","Utilities","Equity","47,176,906.14","0.10","47,176,906.14","1,920,102.00","24.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOV","DOVER CORP","Industrials","Equity","47,153,657.00","0.10","47,153,657.00","362,860.00","129.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","47,113,216.88","0.10","47,113,216.88","1,789,336.00","26.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","47,110,202.75","0.10","47,110,202.75","99,905.00","471.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPC","GENUINE PARTS","Consumer Discretionary","Equity","47,016,761.62","0.10","47,016,761.62","364,867.00","128.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RJF","RAYMOND JAMES INC","Financials","Equity","46,973,468.32","0.10","46,973,468.32","492,178.00","95.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HES","HESS CORP","Energy","Equity","46,149,084.80","0.10","46,149,084.80","319,592.00","144.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","46,056,433.68","0.10","46,056,433.68","275,589.00","167.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LH","LABORATORY CORPORATION OF AMERICA","Health Care","Equity","45,965,862.20","0.10","45,965,862.20","230,140.00","199.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","Equity","45,400,682.59","0.10","45,400,682.59","121,201.00","374.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materials","Equity","45,398,821.85","0.10","45,398,821.85","664,211.00","68.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","45,075,233.60","0.10","45,075,233.60","340,576.00","132.35","United States","NASDAQ","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","44,833,912.29","0.10","44,833,912.29","273,561.00","163.89","United States","Cboe BZX formerly known as BATS","USD","1.00","USD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","44,597,015.12","0.10","44,597,015.12","418,712.00","106.51","United States","NASDAQ","USD","1.00","USD","-"
"VRSN","VERISIGN INC","Information Technology","Equity","44,517,191.90","0.10","44,517,191.90","222,965.00","199.66","United States","NASDAQ","USD","1.00","USD","-"
"MRO","MARATHON OIL CORP","Energy","Equity","44,149,373.31","0.09","44,149,373.31","1,616,601.00","27.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","44,128,380.78","0.09","44,128,380.78","1,039,293.00","42.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNP","CENTERPOINT ENERGY INC","Utilities","Equity","44,130,213.12","0.09","44,130,213.12","1,641,749.00","26.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSGP","COSTAR GROUP INC","Real Estate","Equity","44,008,120.44","0.09","44,008,120.44","599,484.00","73.41","United States","NASDAQ","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","43,965,440.00","0.09","43,965,440.00","886,400.00","49.60","United States","NASDAQ","USD","1.00","USD","-"
"ICLR","ICON PLC","Health Care","Equity","43,919,386.92","0.09","43,919,386.92","180,027.00","243.96","United States","NASDAQ","USD","1.00","USD","-"
"J","JACOBS SOLUTIONS INC","Industrials","Equity","43,547,110.50","0.09","43,547,110.50","326,685.00","133.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","43,508,310.30","0.09","43,508,310.30","986,583.00","44.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAX","BAXTER INTERNATIONAL INC","Health Care","Equity","42,648,011.97","0.09","42,648,011.97","1,315,079.00","32.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFG","PRINCIPAL FINANCIAL GROUP INC","Financials","Equity","42,560,229.60","0.09","42,560,229.60","628,845.00","67.68","United States","NASDAQ","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","41,917,950.45","0.09","41,917,950.45","343,449.00","122.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","41,865,387.17","0.09","41,865,387.17","1,765,727.00","23.71","United States","NASDAQ","USD","1.00","USD","-"
"HOLX","HOLOGIC INC","Health Care","Equity","41,819,175.32","0.09","41,819,175.32","631,996.00","66.17","United States","NASDAQ","USD","1.00","USD","-"
"MKC","MCCORMICK & CO NON-VOTING INC","Consumer Staples","Equity","41,770,215.90","0.09","41,770,215.90","653,681.00","63.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","41,739,512.10","0.09","41,739,512.10","567,190.00","73.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Real Estate","Equity","41,551,160.19","0.09","41,551,160.19","446,163.00","93.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AKAM","AKAMAI TECHNOLOGIES INC","Information Technology","Equity","41,355,662.57","0.09","41,355,662.57","400,229.00","103.33","United States","NASDAQ","USD","1.00","USD","-"
"BG","BUNGE LTD","Consumer Staples","Equity","41,161,254.26","0.09","41,161,254.26","388,387.00","105.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMS","CMS ENERGY CORP","Utilities","Equity","41,034,307.60","0.09","41,034,307.60","755,140.00","54.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","40,999,183.75","0.09","40,999,183.75","399,875.00","102.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","40,779,306.72","0.09","40,779,306.72","170,832.00","238.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CF","CF INDUSTRIES HOLDINGS INC","Materials","Equity","40,569,167.14","0.09","40,569,167.14","508,513.00","79.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","40,429,949.49","0.09","40,429,949.49","370,951.00","108.99","United States","NASDAQ","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","40,296,707.36","0.09","40,296,707.36","374,296.00","107.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CINF","CINCINNATI FINANCIAL CORP","Financials","Equity","39,802,317.47","0.09","39,802,317.47","399,341.00","99.67","United States","NASDAQ","USD","1.00","USD","-"
"EQT","EQT CORP","Energy","Equity","39,735,996.56","0.08","39,735,996.56","937,612.00","42.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FSLR","FIRST SOLAR INC","Information Technology","Equity","39,430,587.35","0.08","39,430,587.35","276,803.00","142.45","United States","NASDAQ","USD","1.00","USD","-"
"VLTO","VERALTO CORP","Industrials","Equity","39,417,078.00","0.08","39,417,078.00","571,262.00","69.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COO","COOPER INC","Health Care","Equity","39,398,653.25","0.08","39,398,653.25","126,379.00","311.75","United States","NASDAQ","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","39,284,582.60","0.08","39,284,582.60","1,863,595.00","21.08","United States","NASDAQ","USD","1.00","USD","-"
"ZM","ZOOM VIDEO COMMUNICATIONS INC CLAS","Information Technology","Equity","39,147,086.62","0.08","39,147,086.62","652,669.00","59.98","United States","NASDAQ","USD","1.00","USD","-"
"TXT","TEXTRON INC","Industrials","Equity","39,091,664.00","0.08","39,091,664.00","514,364.00","76.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALB","ALBEMARLE CORP","Materials","Equity","38,611,990.02","0.08","38,611,990.02","304,559.00","126.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RS","RELIANCE STEEL & ALUMINUM","Materials","Equity","38,610,559.54","0.08","38,610,559.54","151,783.00","254.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BALL","BALL CORP","Materials","Equity","38,587,939.65","0.08","38,587,939.65","801,411.00","48.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OMC","OMNICOM GROUP INC","Communication","Equity","38,444,261.46","0.08","38,444,261.46","513,206.00","74.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EG","EVEREST GROUP LTD","Financials","Equity","38,133,020.56","0.08","38,133,020.56","96,388.00","395.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DGX","QUEST DIAGNOSTICS INC","Health Care","Equity","37,897,869.80","0.08","37,897,869.80","291,298.00","130.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVR","NVR INC","Consumer Discretionary","Equity","37,877,514.76","0.08","37,877,514.76","6,998.00","5,412.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Industrials","Equity","37,391,686.50","0.08","37,391,686.50","342,258.00","109.25","United States","NASDAQ","USD","1.00","USD","-"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Equity","36,103,573.95","0.08","36,103,573.95","3,741,303.00","9.65","United States","NASDAQ","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","35,989,491.15","0.08","35,989,491.15","424,755.00","84.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLDR","BUILDERS FIRSTSOURCE INC","Industrials","Equity","35,936,723.56","0.08","35,936,723.56","331,153.00","108.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SQ","BLOCK INC CLASS A","Financials","Equity","35,815,255.00","0.08","35,815,255.00","889,820.00","40.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWKS","SKYWORKS SOLUTIONS INC","Information Technology","Equity","35,798,465.40","0.08","35,798,465.40","412,710.00","86.74","United States","NASDAQ","USD","1.00","USD","-"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Real Estate","Equity","35,607,692.55","0.08","35,607,692.55","301,377.00","118.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESS","ESSEX PROPERTY TRUST REIT INC","Real Estate","Equity","35,520,988.16","0.08","35,520,988.16","166,048.00","213.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WRB","WR BERKLEY CORP","Financials","Equity","35,510,855.62","0.08","35,510,855.62","526,711.00","67.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RF","REGIONS FINANCIAL CORP","Financials","Equity","35,251,145.82","0.08","35,251,145.82","2,426,094.00","14.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PKG","PACKAGING CORP OF AMERICA","Materials","Equity","35,221,702.60","0.08","35,221,702.60","230,132.00","153.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LDOS","LEIDOS HOLDINGS INC","Industrials","Equity","35,201,278.56","0.08","35,201,278.56","355,138.00","99.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTRS","NORTHERN TRUST CORP","Financials","Equity","35,123,439.00","0.08","35,123,439.00","532,900.00","65.91","United States","NASDAQ","USD","1.00","USD","-"
"SNA","SNAP ON INC","Industrials","Equity","34,912,952.82","0.07","34,912,952.82","135,353.00","257.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMRN","BIOMARIN PHARMACEUTICAL INC","Health Care","Equity","34,911,261.90","0.07","34,911,261.90","428,622.00","81.45","United States","NASDAQ","USD","1.00","USD","-"
"FCNCA","FIRST CITIZENS BANCSHARES INC CLAS","Financials","Equity","34,733,895.44","0.07","34,733,895.44","25,156.00","1,380.74","United States","NASDAQ","USD","1.00","USD","-"
"IEX","IDEX CORP","Industrials","Equity","34,589,892.51","0.07","34,589,892.51","180,711.00","191.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LUV","SOUTHWEST AIRLINES","Industrials","Equity","34,373,159.73","0.07","34,373,159.73","1,546,251.00","22.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMCR","AMCOR PLC","Materials","Equity","34,191,837.89","0.07","34,191,837.89","3,846,101.00","8.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"K","KELLANOVA","Consumer Staples","Equity","34,178,586.82","0.07","34,178,586.82","677,206.00","50.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWK","STANLEY BLACK & DECKER INC","Industrials","Equity","33,869,376.45","0.07","33,869,376.45","398,229.00","85.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAG","CONAGRA BRANDS INC","Consumer Staples","Equity","33,821,200.80","0.07","33,821,200.80","1,236,155.00","27.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSN","TYSON FOODS INC CLASS A","Consumer Staples","Equity","33,497,469.45","0.07","33,497,469.45","722,707.00","46.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","33,445,864.32","0.07","33,445,864.32","433,686.00","77.12","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","33,362,321.30","0.07","33,362,321.30","830,942.00","40.15","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","33,359,073.18","0.07","33,359,073.18","152,869.00","218.22","United States","NASDAQ","USD","1.00","USD","-"
"CSL","CARLISLE COMPANIES INC","Industrials","Equity","32,798,445.38","0.07","32,798,445.38","129,082.00","254.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","32,728,691.84","0.07","32,728,691.84","146,032.00","224.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FWONK","LIBERTY MEDIA FORMULA ONE CORP SER","Communication","Equity","32,637,786.94","0.07","32,637,786.94","504,526.00","64.69","United States","NASDAQ","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","32,499,891.27","0.07","32,499,891.27","827,601.00","39.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENTG","ENTEGRIS INC","Information Technology","Equity","32,414,655.24","0.07","32,414,655.24","368,181.00","88.04","United States","NASDAQ","USD","1.00","USD","-"
"LNT","ALLIANT ENERGY CORP","Utilities","Equity","31,904,464.06","0.07","31,904,464.06","653,914.00","48.79","United States","NASDAQ","USD","1.00","USD","-"
"NDSN","NORDSON CORP","Industrials","Equity","31,625,313.58","0.07","31,625,313.58","148,762.00","212.59","United States","NASDAQ","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","31,595,462.68","0.07","31,595,462.68","288,754.00","109.42","United States","NASDAQ","USD","1.00","USD","-"
"LII","LENNOX INTERNATIONAL INC","Industrials","Equity","30,818,182.34","0.07","30,818,182.34","83,171.00","370.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"L","LOEWS CORP","Financials","Equity","30,792,778.62","0.07","30,792,778.62","481,062.00","64.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
